trialnumber,givenResponse,reactionTime,correct,word,stimulusType,correctResponse
17,old,3024.604999999996,0,stellar,new,new
18,old,1684.875,1,sit,old,old
19,new,1017.239999999998,1,amulet,new,new
20,old,980.989999999998,1,legs,old,old
21,new,1193.4550000000017,1,empires,new,new
22,old,1692.760000000002,1,stool,old,old
23,new,1481.8700000000026,1,trucks,new,new
24,new,742.5050000000047,1,bricks,new,new
25,new,661.6100000000006,1,mammals,new,new
26,old,767.4099999999962,1,recliner,old,old
27,new,720.625,1,teddy,new,new
28,old,894.4700000000012,1,bench,old,old
29,new,1138.6650000000009,1,slides,new,new
30,old,769.25,1,wood,old,old
31,new,816.239999999998,1,framed,new,new
32,new,1018.1149999999907,1,prudent,new,new
33,old,927.3600000000006,1,table,old,old
34,new,1046.060000000005,1,dignity,new,new
35,old,1024.1549999999988,1,seat,old,old
36,old,875.0349999999962,1,couch,old,old
37,old,891.4949999999953,1,desk,old,old
38,old,830.1600000000035,1,sofa,old,old
39,new,899.1499999999942,1,trails,new,new
40,new,1036.7200000000012,0,rocking,old,old
41,old,676.5000000000146,1,cushion,old,old
42,new,1047.5849999999919,1,bearing,new,new
43,old,1320.0449999999837,0,chair,lure,new
44,new,1299.3949999999895,1,scouts,new,new
45,new,962.2200000000012,1,stoned,new,new
46,old,769.9300000000076,1,swivel,old,old
62,new,1723.3399999999965,0,smell,old,old
63,new,901.8899999999994,1,hound,new,new
64,new,642.9699999999866,1,burns,new,new
65,old,869,1,broccoli,old,old
66,new,1234.5850000000064,1,buys,new,new
67,old,879.6549999999988,1,plant,old,old
68,old,859.4850000000006,1,slaw,old,old
69,new,1411.1399999999994,0,head,old,old
70,old,570.3000000000175,1,soup,old,old
71,old,916.6500000000087,1,patch,old,old
72,new,661.5749999999971,1,lasts,new,new
73,new,1620.7600000000093,1,coaches,new,new
74,old,1719.5149999999994,0,arrow,new,new
75,new,758.8950000000041,1,fined,new,new
76,new,1226.4049999999988,1,reject,new,new
77,new,1804.8450000000012,0,green,old,old
78,new,787.6700000000128,1,schemes,new,new
79,old,653.7400000000052,1,leaf,old,old
80,old,689.4100000000035,1,lettuce,old,old
81,new,961.3000000000175,1,cabbage,lure,new
82,new,1261.8149999999878,1,relying,new,new
83,old,733.4699999999866,1,vegetable,old,old
84,new,971.6850000000122,1,wander,new,new
85,new,800.0299999999988,1,stein,new,new
86,old,1068.090000000011,1,garden,old,old
87,new,745.5600000000122,1,coyote,new,new
88,new,939.2200000000012,1,aiming,new,new
89,old,939.5900000000256,1,sauerkraut,old,old
90,old,1108.5899999999965,1,carrots,old,old
91,old,843.5599999999977,1,salad,old,old
92,new,723.8249999999825,1,lacks,new,new
108,new,1485.4949999999953,0,lady,old,old
109,new,972.9000000000233,0,day,old,old
110,old,1122.8150000000023,1,homely,old,old
111,new,871.25,1,sailors,new,new
112,new,911.054999999993,1,terrain,new,new
113,new,637.4049999999697,1,spoiled,new,new
114,old,1036.7050000000163,1,mountain,old,old
115,new,839.3699999999953,1,chassis,new,new
116,old,631.6700000000128,1,pretty,old,old
117,old,777.9500000000116,1,lovely,old,old
118,new,1813.7249999999767,1,beautiful,lure,new
119,new,909.4349999999977,1,thrill,new,new
120,old,685.320000000007,1,woman,old,old
121,old,1951.9000000000233,1,nice,old,old
122,new,881.8600000000151,1,breathe,new,new
123,new,653.7900000000081,1,counsel,new,new
124,new,797.0950000000303,1,remake,new,new
125,old,826.9150000000081,1,girls,old,old
126,new,897.164999999979,1,bolo,new,new
127,new,1080.2749999999942,0,picture,old,old
128,old,837.1300000000047,1,scene,old,old
129,new,783.2449999999953,1,cursed,new,new
130,new,1391.5199999999895,1,bikini,new,new
131,new,2164.2999999999884,0,ugly,old,old
132,new,610.8500000000058,1,veil,new,new
133,old,901.3549999999814,1,music,old,old
134,old,762.179999999993,1,snow,old,old
135,new,770.0550000000221,1,retire,new,new
136,new,1356.8700000000244,1,hubs,new,new
137,new,811.7149999999965,1,totals,new,new
138,old,773.8349999999919,1,gorgeous,old,old
154,old,1709.2949999999837,1,stein,old,old
155,new,855.3799999999756,1,lunar,new,new
156,new,2506.2550000000047,1,climbs,new,new
157,old,917.4200000000419,1,saucer,old,old
158,new,992.820000000007,1,nimbus,new,new
159,old,1041.6149999999616,1,goblet,old,old
160,new,1829.3899999999849,0,coaster,old,old
161,new,2270.9199999999837,0,measuring,old,old
162,old,918.0500000000175,1,straw,old,old
163,new,732.5000000000291,1,empathy,new,new
164,new,724.3649999999907,1,grains,new,new
165,new,704.5249999999942,1,matched,new,new
166,old,821.6549999999988,1,plastic,old,old
167,old,751.570000000007,1,tea,old,old
168,new,1099.0749999999825,0,drink,old,old
169,old,779.8099999999977,1,sip,old,old
170,old,890.9599999999919,0,cup,lure,new
171,new,709.2949999999837,1,froze,new,new
172,new,898.929999999993,1,builds,new,new
173,new,967.2850000000035,1,trails,new,new
174,new,658.414999999979,1,lotion,new,new
