V1,V2,V3,V4
chronicled,0.735453433116684,10,1
yelled,8.37971184399615,6,2
grasped,7.14281288829991,7,1
contended,3.01981636931244,9,2
proffered,2.07264149332884,9,1
pacified,0.412299651898747,8,2
entrusted,4.59101234006172,9,1
audited,2.73009228959981,7,2
mopped,1.31490159254195,6,1
stared,1,6,2
tidied,1.87206328429701,6,1
disclosed,2,9,2
butted,2,6,1
rapped,1.86092005046191,6,2
amassed,1.7383444782758,7,1
scoured,1.56005273691418,7,2
dusted,2.23979000085535,6,1
squinted,1.7494877121109,8,2
inspected,5.81676806192286,9,1
strode,8.07884453044842,6,2
budgeted,1.7272012444407,8,1
donated,7.8894095552517,7,2
recounted,2.17293059784475,9,1
argued,1,6,2
ambled,1.18118278652073,6,1
intimated,1.40404746322276,9,2
hoisted,2.50722761289779,7,1
wailed,2.44036820988718,6,2
tweezed,NA,7,1
smeared,2.30664940386596,7,2
twirled,2,7,1
waylaid,0.557161691755063,7,2
