stimulusValue;stimulusValueType;stimulusType;correctResponse;keyCode;keyLabel;keyIndex;response
As;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
crowd;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
applauded;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
actress;text;ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
twirled;text;disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
her;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
hair;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
around;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
her;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
finger.;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Did the actress play with her hair?;text;Question-GP-no_comma-factual;Yes;ArrowLeft;Yes;0;Yes
While;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
penguins;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
raced;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
zookeeper;text;ambiguity-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
tidied;text;disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
up;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
messy;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
enclosure.;text;post_disambiguation-GP-no_comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Did the penguins race the zookeeper?;text;Question-GP-no_comma-good_enough;No;ArrowRight;No;1;No
Once;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
security;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
guard;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
checked;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
student;text;ambiguity-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
hoisted;text;disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
cooler;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
on;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
his;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
back.;text;post_disambiguation-GP-no_comma-factual;Continue;ArrowRight;Continue;1;Continue
Did the student hoist a grill?;text;Question-GP-no_comma-factual;No;ArrowRight;No;1;No
After;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
manager;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
interrupted,;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
engineer;text;ambiguity-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
wailed;text;disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
that;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
he;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
never;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
had;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
enough;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
time.;text;post_disambiguation-GP-comma-factual;Continue;ArrowRight;Continue;1;Continue
Did the manager interrupt?;text;Question-GP-comma-factual;Yes;ArrowLeft;Yes;0;Yes
While;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
truck;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
drove;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
past,;text;pre_ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Fred;text;ambiguity-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
stared;text;disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
at;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
the;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
coach's;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
car.;text;post_disambiguation-GP-comma-good_enough;Continue;ArrowRight;Continue;1;Continue
Was Fred passed by the truck?;text;Question-GP-comma-good_enough;No;ArrowRight;No;1;No
